PlaceName,Etymology,Derivation,ReferenceTitle
Bedford,"Uncertain. 'B(i)eda's ford' or perhaps, 'hollow ford'.","byden Old English - A vessel, a tub, a butt; used topographically of a hollow.; ford Old English - A ford.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ampthill,'Ant hill'.,"ǣmette Old English - An ant.; hyll Old English - A hill, a natural eminence or elevated piece of ground.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Arlesey,'Aelfric's island'.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names
Aspley Guise,'Aspen-tree wood/clearing'. It was held by Anselm de Gyse in 1276.,"æspe Old English; Family name Unknown - Family name.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Aspley Heath,'Aspen-tree wood/clearing'. 'Heath' is a recent addition.,"æspe Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Astwick,'East specialised-farm'.,"ēast Old English - Eastern, east.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Barton-in-the-Clay,'Barley farm/settlement'. 'Clay' is a later addition referring to the local drift geology.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.",Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Battlesden,'*Baeddel's hill'.,dūn Old English - A hill.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Biddenham,'Bieda's/Byda's homestead/village' or 'hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Biggleswade,'*Biccel's ford'. The hundred-court was held in Biggleswade and the hundred-meeting place was probably located within the parish. It later absorbed the Domesday half-hundred of Wenslow (see entry).,Personal name (Old English) Old English - Personal name; wæd Old English - A ford.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; Anderson (unspecified work); A.D. Mills; Dictionary of English Place-Names
Billington,'*Billa's hill'.,Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Bletsoe,'*Blecci's hill-spur'.,hōh Old English - A heel; a sharply projecting piece of ground.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Blunham,'*Bluwa's homestead/village' or '*Bluwa's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Bolnhurst,"'Bull's wooded hill' or perhaps, 'Bol(l)a's wooded hill'.",bula Old English - A bull.; hyrst Old English - A wooded hill.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bromham,"Originally, 'Bruna's homestead/village' or 'Bruna's hemmed-in land'. The forms show later confusion of OE brom, 'broom' and bremel, 'bramble'.","brēmel Old English - A bramble, a blackberry bush.; brōm Old English - Broom; a thorny bush or shrub.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Caddington,'Cada's hill'.,dūn Old English - A hill.; Personal name (Old English) Old English - Personal name,Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Campton,"'River Camel farm/settlement', a lost river name. The watercourse here is apparently unnamed at present.",River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Cardington,'Farm/settlement connected with *Caerda'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Carlton,'Free peasants' farm/settlement'.,"ceorl Old English - A freeman of the lower class, a peasant.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names
Chalgrave,'Chalk pit'.,"calc Old English; græf Old English - A digging, a grave, a pit, a trench.",E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Chellington,"'Ceolwynn's farm/settlement', feminine personal name.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Chicksands Priory,"'Cic(c)a's sands', referring to the sandy character of the soil here. 'Priory' is a later addition.",Personal name (Old English) Old English - Personal name; sand Old English - Sand.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire
Clapham,'Hill homestead/village' or 'hemmed-in land by hills'.,"clopp Old English - A lump, a hillock, a hill.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Clifton,"'Cliff farm/settlement'. The site of the hundred meeting place is unknown, but was probably within the parish.","clif Old English - An escarpment, a hill-slope; a river-bank.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Anderson (unspecified work)
Clophill,'Hill called *Clopp (= the lump)'.,"clopp Old English - A lump, a hillock, a hill.; hyll Old English - A hill, a natural eminence or elevated piece of ground.",E. Ekwall; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Cockayne Hatley,'Hill wood/clearing' or perhaps 'Haetta's wood/clearing'. It was held by the Cockayne family in the 15th century.,"Family name Unknown - Family name.; hætt Old English - A hat; topographically a hill thought to rememble a hat.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Colmworth,'*Culma's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names
Colworth Farm,"Perhaps, 'enclosure connected with Cola'.","-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Uncertain) Unknown - Personal name; worð Old English - An enclosure.",Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Cople,"Uncertain. '*Cocca's/Cog(g)a's pool', or 'cock pool '.",cocc Old English - A heap; a hillock.; Personal name (Old English) Old English - Personal name; pōl Old English - A pool.,Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Cranfield,'Cranes'/herons' open land'.,"cran Old English - A crane; probably also a heron or similar bird.; cranuc Old English - A crane (the bird).; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",A.D. Mills; Dictionary of English Place-Names; Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Dunstable,"Uncertain. 'Dun(n)a's post/pillar' or perhaps, 'hill post/pillar', where it may mark the intersection of Watling Street and Icknield Way on area of high ground.","dūn Old English - A hill.; Personal name (Old English) Old English - Personal name; stapol Old English - A post, a pillar.",Mawer & Stenton; Place-names of Bedfordshire and Huntingdonshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
