PlaceName,Etymology,Derivation,ReferenceTitle
Abenhall,'Abba's nook of land'.,"halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Acton Turville,"'Oak-tree farm/settlement'. It was held by the Turville, or Turberville, family from the 13th century.",āc Old English - An oak-tree.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Smith; Place-names of Gloucestershire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Adlestrop,'*Taetel's outlying hamlet'.,"Personal name (Old English) Old English - Personal name; þrop Old English - A hamlet, an outlying farm.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire; E. Ekwall; Dictionary of English Place-Names
Alderley,'Alder-tree wood/clearing'.,"alor Old English - An alder-tree.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; Gelling; Signposts to the Past; Smith; Place-names of Gloucestershire; Watts; Cambridge Dictionary of English Place-names
Alderton,'Farm/settlement connected with Ealdhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of Gloucestershire; A.D. Mills; Dictionary of English Place-Names
Aldsworth,'*Ald's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of Gloucestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Alkington,'Alhmund's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire; A.D. Mills; Dictionary of English Place-Names
Almondsbury,'Aethlmod's/Aethelmund's fortification'.,burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire
Alstone,'Aelfsige's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alveston,'Aelfwig's stone'.,"Personal name (Old English) Old English - Personal name; stān Old English - A stone, stone, rock.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of Gloucestershire; E. Ekwall; Dictionary of English Place-Names
