PlaceName,Etymology,Derivation,ReferenceTitle
Aberford,"'Eadburh's ford', a feminine personal name.",ford Old English - A ford.; Personal name (Old English) Old English - Personal name,Smith; Place-names of the West Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Acaster Selby,"'River Roman site'. One of two Roman fortifications established to defend York against potential attackers sailing up the River Ouse. The other is at Acaster Malbis. Selby Abbey held land here. It is also referred to as Sutheacaster, 'south Roman site'.",á Old Norse - A river.; ceaster Old English - A city; an old fortification; a Roman site.; Place-name Unknown - Place-name,Smith; Place-names of the West Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ackton,'Oak-tree farm/settlement'.,eik Old Norse - An oak-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the West Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names
Ackworth,'Acca's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Smith; Place-names of the West Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Acomb,'At the oak-trees'.,āc Old English - An oak-tree.,Smith; Place-names of the West Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Addingham,"Uncertain. Possibly, 'homestead/village of Adda's people', 'homestead/village at Adda's place' or 'homestead/village connected with Adda'. However, the 1086 form and other point to an alternative, feminine personal-name, 'Eadgyth'.","-ing Old English - Place-name forming suffix.; -ing- Old English - Connective particle, linking a first element to a final element.; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the West Riding of Yorkshire
Adel,'Filthy place'.,"adela Old English - Filth, a filthy place, a sewer.",A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of the West Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Adlingfleet,'Prince's stream'.,"æðeling Old English - A prince, a nobleman.; flēot Old English - An estuary, an inlet of the sea, a small stream.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of the West Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names
Adwick le Street,'Adda's specialised-farm'.,"Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of the West Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names
Adwick upon Dearne,'Adda's specialised-farm' on the River Dearne.,"Personal name (Old English) Old English - Personal name; River-name Unknown - River-name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of the West Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
