PlaceName,Etymology,Derivation,ReferenceTitle
Abingdon and St Helen Without,'Aebbe's hill'. 'St Helen Without' is named from the church of St Helen which was in existence by ca. 995.,dūn Old English - A hill.; Personal name (Old English) Old English - Personal name; Saint's Name Unknown - Saint's name.,Watts; Cambridge Dictionary of English Place-names; Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aldermaston,'Nobleman's farm/settlement'.,aldormann Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aldworth,"Either, 'Ealda's enclosure' or 'old enclosure'.",ald Old English; Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Appleford,'Apple-tree ford'.,æppel Old English; ford Old English - A ford.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names
Appleton with Eaton,'Apple orchard'.,æppel-tūn Old English - An orchard.; ēa Old English - A river.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names
Arborfield,"Possibly, 'Hereburh's open land', a feminine personal name. Alternatively, perhaps 'earthen fortification's open land' but there are no known earthworks in the area.","eorð-burg Old English - An earth-work, a fortification built of earth.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; Watts; Cambridge Dictionary of English Place-names
Ardington," 'Farm/settlement connected with *Earda'.","-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names
Ashampstead,'Ash-tree homestead'.,"æsc Old English; hām-stede Old English - A homestead, the site of a dwelling.",E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Berkshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ashbury,'Ash-tree fortification'.,æsc Old English; burh Old English - A fortified place.,Gelling; Place-names of Berkshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Aston Tirrold,"'East farm/settlement' in relation to Blewbury. Tirrold is probably derived from the Latin, Nicholaus filius Turoldi de Estuna (Nicholas son of Thorald), who held this portion of Aston in the 12th century. See also Aston Upthorpe.","ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Gelling; Place-names of Berkshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
