PlaceName,Etymology,Derivation,ReferenceTitle
Alstoe Hundred,'Aelnoth's place'. The hundred met at a site next to Alstoe House in Burley parish. The name itself comes from Mount Alstoe a tumulus a mile to the north of Burley.,"hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; stōw Old English - A place; a place of assembly; a holy place.; vápnatak Old Norse - A wapentake, a sub-division of a county.","Anderson (unspecified work); Cox, The Place-Names of Rutland"
Ashwell,'Ash-tree spring/stream'.,æsc Old English; wella Old English,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland"
Ayston,"'Aethelstan's farm/settlement'. The estate was granted to Aethelstan, a minister of Edward the Confessor, in 1046.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names"
Barleythorpe,'Outlying farm/settlement'. 'Barley' represents the later addition of a family name--'le Bolour'-- subsequently confused with the crop.,"Personal name (Uncertain) Unknown - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Barrow,"'Burial-mound/hill', probably referring to a tumulus on the crest of the hill near The Green.",berg Old English,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names"
Barrowden,'Burial-mound hill'. There are a number of tumuli known in this area.,berg Old English; dūn Old English - A hill.,"Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Beaumont Chase,'Beautiful hill'. 'Chase' is a later addition describing a place for breeding and hunting wild animals.,"bel Old French - Fair, beautiful.; chace Middle English - A chase, a tract of ground for breeding and hunting wild animals.; mont Middle English - A mount, a hill.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland"
Belton,"Perhaps, 'farm/settlement near a beacon or funeral pyre'. Alternatively, *Bel may also represent an element meaning 'island' or 'glade'.","bēl Old English; bel Old English - Interval, clearing; tūn Old English - An enclosure; a farmstead; a village; an estate.","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bisbrooke,Uncertain. Possibly 'beetle brook' or '*Bitel's brook',"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); bȳtel Old English - Beetle, insect, grub.; Personal name (Old English) Old English - Personal name","A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Braunston,"'*Brant's farm/settlement'. Alternatively, the personal name could be the Scandinavian 'Brandr'.",Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Brooke,'Brook'.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.)","Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Burley,'Fortification wood/clearing'.,"burh Old English - A fortified place.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Caldecott,'Cold cottage(s)'.,"cald Old English; cot Old English - A cottage, a hut, a shelter, a den.","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Clipsham,"Perhaps, '*Cylp's homestead/village' or '*Cylp's hemmed-in land'.","hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Cottesmore,'Cott's moor'.,"mōr Old English - A marsh, barren upland.; Personal name (Old English) Old English - Personal name","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Edith Weston,"'West farm/settlement'. 'Edith' because it was part of the dowry of Queen Eadgyth, wife of Edward the Confessor.","Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.; west Old English - Western, west.","Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Egleton,'Ecgwulf's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Empingham,'Homestead/village of *Empa's people'.,-ingahām Old English - The village of the people of . . . ; the village of the people called after . . .; Personal name (Old English) Old English - Personal name,"Cox, The Place-Names of Rutland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Essendine,'Esa's valley'.,denu Old English - A valley.; Personal name (Old English) Old English - Personal name,"E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Exton,'Ox farm/settlement'.,oxa Old English - An ox.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names"
Glaston,'*Glathr's farm/settlement.',Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Rutland; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
