PlaceName,Etymology,Derivation,ReferenceTitle
Abbey Dore,"A recent name (1727), a combination of the River Dore and the abbey founded here in 1147. It replaced several earlier names, the oldest being the Welsh, Lann Cerniu, possibly, 'Cornishman's church'.",abbey Modern English - Abbey.; River-name Unknown - River-name,A.D. Mills; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aconbury,'Squirrel fortification'.,ācweorna Old English - A squirrel.; burh Old English - A fortified place.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names
Acton Beauchamp,'Oak-tree farm/settlement'. The Beauchamp family held the manor from the 13th century.,āc Old English - An oak-tree.; Saint's Name Unknown - Saint's name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Adforton,'Farm/settlement connected with Ealdfrith'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Allensmore,'Alan's moor'.,"mōr Old English - A marsh, barren upland.; Personal name (Uncertain) Unknown - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names
Almeley,'Elm-tree wood/clearing'.,"elm Old English - An elm-tree.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Coplestone-Crow; Herefordshire Place-names.
Amberley,'Bunting/yellow-hammer wood/clearing'.,"amore Old English - A bird; probably the bunting or the yellow hammer.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Coplestone-Crow; Herefordshire Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashperton,"Probably, 'ash-tree pear-orchard' but perhaps, 'Aescbeorht's farm/settlement'.",æsc Old English; peretūn Old English - A pear-orchard.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aston,'East farm/settlement'.,"ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Coplestone-Crow; Herefordshire Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aston Ingham,"'East farm/settlement'. Held by Richard Ingen in 1212, but the affix probably refers to his ancestor, Hingen.","ēast Old English - Eastern, east.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Coplestone-Crow; Herefordshire Place-names.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Avenbury,"Uncertain. Perhaps, 'River Avon fortification', an old name for the River Frome or possibly, '*Aegena's fortification'.",burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name; River-name Unknown - River-name,E. Ekwall; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aylton,"'Aethelgifu's farm/settlement', a feminine personal name.",Æðelgifu Old English - Personal name.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aymestrey,'Aethelmund's tree'.,"Personal name (Old English) Old English - Personal name; trēow Old English - A tree; a large piece of wood, a post, a beam.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.
Bacton,'Bacca's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.
Ballingham,"'Homestead/village of *Badela's people' or perhaps, 'homestead/village at *Badela's place'.","-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Bartestree,'Beorhtwald's tree'.,"Personal name (Old English) Old English - Personal name; trēow Old English - A tree; a large piece of wood, a post, a beam.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Coplestone-Crow; Herefordshire Place-names.
Birley,'Fortification wood/clearing'.,"burh Old English - A fortified place.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Coplestone-Crow; Herefordshire Place-names.; A.D. Mills; Dictionary of English Place-Names
Bishop's Frome,Named after the River Frome. It was held by the Bishop of Herefordshire.,episcopus Latin - A bishop.; River-name Unknown - River-name,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Coplestone-Crow; Herefordshire Place-names.; Watts; Cambridge Dictionary of English Place-names
