PlaceName,Etymology,Derivation,ReferenceTitle
(Old) Boywood Farm,"Formerly named `The wood'. Present name may be `Boys's wood' (from the Boys family), OR `Servant's wood', OR `Boia's wood' (from an OE personal name).","boia Old English - A boy, a servant.; Boia Old English - Masculine personal name.; Boys ; Family name Unknown - Family name.; hyll Old English - A hill, a natural eminence or elevated piece of ground.; Personal name (Old English) Old English - Personal name; wudu Old English - A wood; or wood, timber.",
Abbot's Court,Abbess's court. Named from the abbess of Tarrant.,"abbesse Middle English - An abbess.; court Middle English - A space enclosed by walls or houses, a yard; a large house, a manor-house; a house where manorial courts were held.",
Abbotsbury,'Abbot's fortification'.,abbod Old English - An abbot.; burh Old English - A fortified place.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Place-names of Dorset
Abbott Street,"First element refers to ownership by the abbey of Sherborne. Second may mean `hamlet', or refer to the Badbury Rings-Poole Harbour Roman road.",abbod Old English - An abbot.; strēt Old English,
Acton,PROBABLY: Farm where young sheep are reared. OR: Tacca's farm.,"Personal name (Old English) Old English - Personal name; tacca Old English - A teg, a young sheep.; Tacca Old English - Masculine personal name.; tūn Old English - An enclosure; a farmstead; a village; an estate.",
Adber,Eata's grove.,"bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); Ēata Old English - Masculine personal name.  Also the name of a saint.; neoðera Old English - Lower. (No positive form.); parva Latin - Small.; Personal name (Old English) Old English - Personal name; ufan Old English - Over, above.  (Comparative: higher, upper.  Superlative: uppermost.)",
Afflington Farm,Ælfrūn's farm.,Ælfrūn Old English - Personal name.; Farm Modern English; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,
Affpuddle,Named from River Piddle or Trent. First part of name is probably a personal name.,Æffa Old English - Masculine personal name.; Personal name (Old English) Old English - Personal name; Piddle Old English - A river-name.,
Affpuddle,'Aeffa's farm/settlement on the River Piddle'.,Personal name (Old English) Old English - Personal name; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; Mills; Place-names of Dorset; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Ailwood,Æðelgifu's wood.,"Æðelgifu Old English - Personal name.; Farm Modern English; Personal name (Old English) Old English - Personal name; wudu Old English - A wood; or wood, timber.",
Alcester,"A transferred name from Alcester in Warwickshire, from the possession of lands here by Alcester abbey from at least as early as the 13th century.",Alcester ; Place-name Unknown - Place-name,
Alcester,"Called after Alcester, Warwickshire.",Place-name Unknown - Place-name,Mills; Place-names of Dorset; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alderholt,Alder wood.,"alor Old English - An alder-tree.; wudu Old English - A wood; or wood, timber.",
Alders Coppice,Place where alders grow.,"Ælfrīc Old English - Masculine personal name.; alor Old English - An alder-tree.; beneoðan Old English - Beneath, under, below.; bufan Old English - Above, over.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name; weg Old English - A road.",
All Hallows Farm,Named from the dedication of the former church here.,"All Saints ; Karentham ; Wimborne ",
Aller,(Place at) the alder-tree.,alor Old English - An alder-tree.,
