PlaceName,Etymology,Derivation,ReferenceTitle
Abbey Hulton,'Hill farm/settlement'. Affix from the Cistercian abbey founded here in 1223. (Mills),"hyll Old English - A hill, a natural eminence or elevated piece of ground.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Abbots Bromley,'Broom wood/clearing'. It was held by Burton Abbey.,"abbod Old English - An abbot.; brōm Old English - Broom; a thorny bush or shrub.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",The Vocabulary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ackbury Heath,"The first element may be an old Welsh name of the district. The second is OE bearu `wood, grove'.",bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); Obscure element Unknown - Obscure element,
Acton Trussell,The farmstead by the oaks. Manorial affix from the Trusell family.,āc Old English - An oak-tree.; Family name Unknown - Family name.; Trussell ; tūn Old English - An enclosure; a farmstead; a village; an estate.,
Acton Trussell and Bednall,'Oak-tree farm/settlement' . It was held by the Trussell family from the 14th century. 'Beda's nook of land'.,"āc Old English - An oak-tree.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; The Vocabulary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Oakden; The Place-Names of Staffordshire, vol. I"
Adbaston,'Eadbald's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Agardsley,'Eadgar's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aldridge,'Alder-tree specialised-farm'.,"alor Old English - An alder-tree.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; The Vocabulary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Allimore Green,Path or passage-way through marshy land.,"aley Middle English - An alley.; mōr Old English - A marsh, barren upland.",
Almington,'Alhmund's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alrewas,'Alluvial land growing with alder-trees'.,alor Old English - An alder-tree.; wæsse Old English,Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Alstone,The farmstead of AElfred.,Ælfrēd Old English - Masculine personal name.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,
Alstone,'Alfred's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Oakden; The Place-Names of Staffordshire, vol. I; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Alstonfield,'Aelfstan's open land.,"feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Alton,'Aelfa's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Amblecote,"Uncertain. ' Aemela's cottage(s) or perhaps, 'caterpillar cottage(s)'.","cot Old English - A cottage, a hut, a shelter, a den.; emel Old English - A caterpillar.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Amerton,'Eanbeorht''s farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Anslow,"'Eanswith's wood/clearing', a feminine personal name.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Apeton,Abba's farmstead.,Abba Old English - Personal name.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,
Apeton,'Abba's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Oakden; The Place-Names of Staffordshire, vol. I; E. Ekwall; Dictionary of English Place-Names"
Aqualate Mere/Castle/Hall/Park,The oak stream.,"āc Old English - An oak-tree.; lād Old English - A small watercourse, drainage ditch; a path.",
Armitage,'Hermitage'.,ermitage Middle English - A hermitage.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashley,'Ash-tree wood/clearing'.,"æsc Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashwood,'Ash-tree wood'.,"æsc Old English; wudu Old English - A wood; or wood, timber.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aspley,The wood with aspen trees.,"æspe Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",
Aspley,'Aspen-tree wood'.,"æspe Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aston,'East farm/settlement'.,"ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aston,'East farm/settlement'.,"ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Audley,"'Aldgyth's wood/clearing', a feminine personal name.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
