PlaceName,Etymology,Derivation,ReferenceTitle
Abbas and Temple Combe,'Valley'.,"abbas Latin - An abbot.; cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.; temple Middle English - A temple; usually in allusion to properties of the Knights Templar.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Abbots Leigh,'Wood/clearing'. It was held by the Abbot of St. Augustine's Bristol.,"abbas Latin - An abbot.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Aisholt,'Ash-tree wood'.,æsc Old English; holt Old English - A wood. (Probably of a single species.),E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Alford,"'Ealdgyth's farm/settlement', feminine personal name.",ford Old English - A ford.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aller,'At the alder-tree'.,alor Old English - An alder-tree.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Angersleigh,'Wood/clearing'. It was held by John Aungier before 1290.,"Family name Unknown - Family name.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ansford,'Ealhmund's ford.,ford Old English - A ford.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ash Priors,'At the ash-tree'. It was held by the Prior of Taunton.,æsc Old English; prior Middle English - A prior of a religious house.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ashbrittle,"'Ash-tree', held by Bretel de St. Clair in 1086.",æsc Old English; Personal name (Uncertain) Unknown - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ashcott,'Ash-tree cottage(s)'.,"æsc Old English; cot Old English - A cottage, a hut, a shelter, a den.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ashill,'Ash-tree hill'.,"æsc Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ashington,'East in the farm/settlement'.,"ēast Old English - Eastern, east.; in Old English - In.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashwick,'At the ash-tree specialised-farm'.,"æsc Old English; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Axbridge,'River Axe bridge'.,brycg Old English - A bridge; a causeway.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Babcary,'Babba's Cary (= name after the River Cary)'. The addition of the personal name to distinguish from other villages called Cary.,Personal name (Old English) Old English - Personal name; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Babington,"'Farm/settlement of Baba's people' or perhaps, more likely, 'farm/settlement connected with Babba'.","-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Backwell,'Ridge spring/stream'.,"bæc Old English - A back; used topographically of a ridge, varying from a low ridge in marshy ground to a steep escarpment.; wella Old English",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Badgworth,'*Baecg's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Baltonsborough,'Bealdhun's burial-mound/hill'.,berg Old English; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Banwell,"'Murderer's spring/stream'. Murderers were often drowned in streams, but it has been suggested that in this case that spring or stream in questioned was considered poisoned or contaminated.",bana Old English - A slayer; the agent which causes death.; wella Old English,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Barrington,'Farm/settlement connected with *Bara'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Barrow Gurney,'Small grove'. It was held by Nigel de Gurnai in 1086.,bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); Family name Unknown - Family name.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
